item_id,dim_code,n_passes,mode,mean,min,max
sciver_test_1,AS,1,3,3,3,3
sciver_test_1,AT,1,4,4,4,4
sciver_test_1,MCr,1,2,2,2,2
sciver_test_1,QLl,1,2,2,2,2
sciver_test_1,QLq,1,2,2,2,2
sciver_test_1,VO,1,2,2,2,2
sciver_test_101,AS,1,2,2,2,2
sciver_test_101,AT,1,3,3,3,3
sciver_test_101,MCr,1,3,3,3,3
sciver_test_101,QLl,1,3,3,3,3
sciver_test_101,QLq,1,2,2,2,2
sciver_test_101,VO,1,2,2,2,2
sciver_test_103,AS,1,3,3,3,3
sciver_test_103,AT,1,3,3,3,3
sciver_test_103,MCr,1,3,3,3,3
sciver_test_103,QLl,1,3,3,3,3
sciver_test_103,QLq,1,2,2,2,2
sciver_test_103,VO,1,2,2,2,2
sciver_test_105,AS,1,2,2,2,2
sciver_test_105,AT,1,4,4,4,4
sciver_test_105,MCr,1,2,2,2,2
sciver_test_105,QLl,1,3,3,3,3
sciver_test_105,QLq,1,3,3,3,3
sciver_test_105,VO,1,2,2,2,2
sciver_test_106,AS,1,3,3,3,3
sciver_test_106,AT,1,3,3,3,3
sciver_test_106,MCr,1,3,3,3,3
sciver_test_106,QLl,1,3,3,3,3
sciver_test_106,QLq,1,2,2,2,2
sciver_test_106,VO,1,2,2,2,2
sciver_test_109,AS,1,3,3,3,3
sciver_test_109,AT,1,4,4,4,4
sciver_test_109,MCr,1,4,4,4,4
sciver_test_109,QLl,1,2,2,2,2
sciver_test_109,QLq,1,2,2,2,2
sciver_test_109,VO,1,2,2,2,2
sciver_test_11,AS,1,3,3,3,3
sciver_test_11,AT,1,3,3,3,3
sciver_test_11,MCr,1,2,2,2,2
sciver_test_11,QLl,1,2,2,2,2
sciver_test_11,QLq,1,2,2,2,2
sciver_test_11,VO,1,2,2,2,2
sciver_test_111,AS,1,2,2,2,2
sciver_test_111,AT,1,4,4,4,4
sciver_test_111,MCr,1,1,1,1,1
sciver_test_111,QLl,1,2,2,2,2
sciver_test_111,QLq,1,2,2,2,2
sciver_test_111,VO,1,2,2,2,2
sciver_test_115,AS,1,3,3,3,3
sciver_test_115,AT,1,3,3,3,3
sciver_test_115,MCr,1,3,3,3,3
sciver_test_115,QLl,1,3,3,3,3
sciver_test_115,QLq,1,3,3,3,3
sciver_test_115,VO,1,2,2,2,2
sciver_test_116,AS,1,3,3,3,3
sciver_test_116,AT,1,4,4,4,4
sciver_test_116,MCr,1,3,3,3,3
sciver_test_116,QLl,1,3,3,3,3
sciver_test_116,QLq,1,2,2,2,2
sciver_test_116,VO,1,2,2,2,2
sciver_test_118,AS,1,3,3,3,3
sciver_test_118,AT,1,3,3,3,3
sciver_test_118,MCr,1,3,3,3,3
sciver_test_118,QLl,1,2,2,2,2
sciver_test_118,QLq,1,2,2,2,2
sciver_test_118,VO,1,2,2,2,2
sciver_test_119,AS,1,3,3,3,3
sciver_test_119,AT,1,4,4,4,4
sciver_test_119,MCr,1,3,3,3,3
sciver_test_119,QLl,1,3,3,3,3
sciver_test_119,QLq,1,1,1,1,1
sciver_test_119,VO,1,1,1,1,1
sciver_test_121,AS,1,3,3,3,3
sciver_test_121,AT,1,3,3,3,3
sciver_test_121,MCr,1,3,3,3,3
sciver_test_121,QLl,1,2,2,2,2
sciver_test_121,QLq,1,3,3,3,3
sciver_test_121,VO,1,2,2,2,2
sciver_test_122,AS,1,3,3,3,3
sciver_test_122,AT,1,3,3,3,3
sciver_test_122,MCr,1,3,3,3,3
sciver_test_122,QLl,1,3,3,3,3
sciver_test_122,QLq,1,2,2,2,2
sciver_test_122,VO,1,2,2,2,2
sciver_test_124,AS,1,3,3,3,3
sciver_test_124,AT,1,4,4,4,4
sciver_test_124,MCr,1,3,3,3,3
sciver_test_124,QLl,1,3,3,3,3
sciver_test_124,QLq,1,3,3,3,3
sciver_test_124,VO,1,2,2,2,2
sciver_test_127,AS,1,2,2,2,2
sciver_test_127,AT,1,3,3,3,3
sciver_test_127,MCr,1,3,3,3,3
sciver_test_127,QLl,1,2,2,2,2
sciver_test_127,QLq,1,2,2,2,2
sciver_test_127,VO,1,1,1,1,1
sciver_test_13,AS,1,3,3,3,3
sciver_test_13,AT,1,4,4,4,4
sciver_test_13,MCr,1,3,3,3,3
sciver_test_13,QLl,1,3,3,3,3
sciver_test_13,QLq,1,1,1,1,1
sciver_test_13,VO,1,2,2,2,2
sciver_test_130,AS,1,3,3,3,3
sciver_test_130,AT,1,4,4,4,4
sciver_test_130,MCr,1,3,3,3,3
sciver_test_130,QLl,1,3,3,3,3
sciver_test_130,QLq,1,2,2,2,2
sciver_test_130,VO,1,2,2,2,2
sciver_test_132,AS,1,3,3,3,3
sciver_test_132,AT,1,4,4,4,4
sciver_test_132,MCr,1,3,3,3,3
sciver_test_132,QLl,1,2,2,2,2
sciver_test_132,QLq,1,1,1,1,1
sciver_test_132,VO,1,2,2,2,2
sciver_test_134,AS,1,3,3,3,3
sciver_test_134,AT,1,4,4,4,4
sciver_test_134,MCr,1,3,3,3,3
sciver_test_134,QLl,1,3,3,3,3
sciver_test_134,QLq,1,2,2,2,2
sciver_test_134,VO,1,2,2,2,2
sciver_test_136,AS,1,3,3,3,3
sciver_test_136,AT,1,4,4,4,4
sciver_test_136,MCr,1,3,3,3,3
sciver_test_136,QLl,1,3,3,3,3
sciver_test_136,QLq,1,2,2,2,2
sciver_test_136,VO,1,2,2,2,2
sciver_test_138,AS,1,4,4,4,4
sciver_test_138,AT,1,4,4,4,4
sciver_test_138,MCr,1,3,3,3,3
sciver_test_138,QLl,1,3,3,3,3
sciver_test_138,QLq,1,1,1,1,1
sciver_test_138,VO,1,2,2,2,2
sciver_test_14,AS,1,2,2,2,2
sciver_test_14,AT,1,3,3,3,3
sciver_test_14,MCr,1,2,2,2,2
sciver_test_14,QLl,1,1,1,1,1
sciver_test_14,QLq,1,2,2,2,2
sciver_test_14,VO,1,1,1,1,1
sciver_test_140,AS,1,3,3,3,3
sciver_test_140,AT,1,3,3,3,3
sciver_test_140,MCr,1,3,3,3,3
sciver_test_140,QLl,1,3,3,3,3
sciver_test_140,QLq,1,3,3,3,3
sciver_test_140,VO,1,2,2,2,2
sciver_test_142,AS,1,3,3,3,3
sciver_test_142,AT,1,4,4,4,4
sciver_test_142,MCr,1,3,3,3,3
sciver_test_142,QLl,1,3,3,3,3
sciver_test_142,QLq,1,3,3,3,3
sciver_test_142,VO,1,2,2,2,2
sciver_test_144,AS,1,3,3,3,3
sciver_test_144,AT,1,3,3,3,3
sciver_test_144,MCr,1,3,3,3,3
sciver_test_144,QLl,1,2,2,2,2
sciver_test_144,QLq,1,2,2,2,2
sciver_test_144,VO,1,2,2,2,2
sciver_test_146,AS,1,3,3,3,3
sciver_test_146,AT,1,3,3,3,3
sciver_test_146,MCr,1,3,3,3,3
sciver_test_146,QLl,1,3,3,3,3
sciver_test_146,QLq,1,3,3,3,3
sciver_test_146,VO,1,2,2,2,2
sciver_test_148,AS,1,3,3,3,3
sciver_test_148,AT,1,4,4,4,4
sciver_test_148,MCr,1,3,3,3,3
sciver_test_148,QLl,1,3,3,3,3
sciver_test_148,QLq,1,4,4,4,4
sciver_test_148,VO,1,2,2,2,2
sciver_test_150,AS,1,3,3,3,3
sciver_test_150,AT,1,3,3,3,3
sciver_test_150,MCr,1,3,3,3,3
sciver_test_150,QLl,1,3,3,3,3
sciver_test_150,QLq,1,2,2,2,2
sciver_test_150,VO,1,2,2,2,2
sciver_test_152,AS,1,2,2,2,2
sciver_test_152,AT,1,3,3,3,3
sciver_test_152,MCr,1,3,3,3,3
sciver_test_152,QLl,1,2,2,2,2
sciver_test_152,QLq,1,2,2,2,2
sciver_test_152,VO,1,1,1,1,1
sciver_test_154,AS,1,2,2,2,2
sciver_test_154,AT,1,3,3,3,3
sciver_test_154,MCr,1,3,3,3,3
sciver_test_154,QLl,1,2,2,2,2
sciver_test_154,QLq,1,3,3,3,3
sciver_test_154,VO,1,2,2,2,2
sciver_test_156,AS,1,2,2,2,2
sciver_test_156,AT,1,3,3,3,3
sciver_test_156,MCr,1,2,2,2,2
sciver_test_156,QLl,1,2,2,2,2
sciver_test_156,QLq,1,2,2,2,2
sciver_test_156,VO,1,2,2,2,2
sciver_test_158,AS,1,3,3,3,3
sciver_test_158,AT,1,3,3,3,3
sciver_test_158,MCr,1,2,2,2,2
sciver_test_158,QLl,1,1,1,1,1
sciver_test_158,QLq,1,1,1,1,1
sciver_test_158,VO,1,1,1,1,1
sciver_test_16,AS,1,3,3,3,3
sciver_test_16,AT,1,3,3,3,3
sciver_test_16,MCr,1,2,2,2,2
sciver_test_16,QLl,1,2,2,2,2
sciver_test_16,QLq,1,2,2,2,2
sciver_test_16,VO,1,2,2,2,2
sciver_test_160,AS,1,2,2,2,2
sciver_test_160,AT,1,3,3,3,3
sciver_test_160,MCr,1,2,2,2,2
sciver_test_160,QLl,1,3,3,3,3
sciver_test_160,QLq,1,2,2,2,2
sciver_test_160,VO,1,1,1,1,1
sciver_test_162,AS,1,3,3,3,3
sciver_test_162,AT,1,4,4,4,4
sciver_test_162,MCr,1,4,4,4,4
sciver_test_162,QLl,1,3,3,3,3
sciver_test_162,QLq,1,3,3,3,3
sciver_test_162,VO,1,2,2,2,2
sciver_test_165,AS,1,3,3,3,3
sciver_test_165,AT,1,3,3,3,3
sciver_test_165,MCr,1,3,3,3,3
sciver_test_165,QLl,1,2,2,2,2
sciver_test_165,QLq,1,2,2,2,2
sciver_test_165,VO,1,2,2,2,2
sciver_test_166,AS,1,2,2,2,2
sciver_test_166,AT,1,4,4,4,4
sciver_test_166,MCr,1,1,1,1,1
sciver_test_166,QLl,1,1,1,1,1
sciver_test_166,QLq,1,2,2,2,2
sciver_test_166,VO,1,1,1,1,1
sciver_test_168,AS,1,2,2,2,2
sciver_test_168,AT,1,4,4,4,4
sciver_test_168,MCr,1,2,2,2,2
sciver_test_168,QLl,1,3,3,3,3
sciver_test_168,QLq,1,3,3,3,3
sciver_test_168,VO,1,2,2,2,2
sciver_test_172,AS,1,3,3,3,3
sciver_test_172,AT,1,3,3,3,3
sciver_test_172,MCr,1,3,3,3,3
sciver_test_172,QLl,1,3,3,3,3
sciver_test_172,QLq,1,3,3,3,3
sciver_test_172,VO,1,2,2,2,2
sciver_test_174,AS,1,2,2,2,2
sciver_test_174,AT,1,4,4,4,4
sciver_test_174,MCr,1,3,3,3,3
sciver_test_174,QLl,1,2,2,2,2
sciver_test_174,QLq,1,2,2,2,2
sciver_test_174,VO,1,2,2,2,2
sciver_test_175,AS,1,3,3,3,3
sciver_test_175,AT,1,4,4,4,4
sciver_test_175,MCr,1,3,3,3,3
sciver_test_175,QLl,1,3,3,3,3
sciver_test_175,QLq,1,3,3,3,3
sciver_test_175,VO,1,2,2,2,2
sciver_test_176,AS,1,2,2,2,2
sciver_test_176,AT,1,4,4,4,4
sciver_test_176,MCr,1,3,3,3,3
sciver_test_176,QLl,1,3,3,3,3
sciver_test_176,QLq,1,3,3,3,3
sciver_test_176,VO,1,2,2,2,2
sciver_test_178,AS,1,3,3,3,3
sciver_test_178,AT,1,3,3,3,3
sciver_test_178,MCr,1,3,3,3,3
sciver_test_178,QLl,1,3,3,3,3
sciver_test_178,QLq,1,3,3,3,3
sciver_test_178,VO,1,2,2,2,2
sciver_test_18,AS,1,3,3,3,3
sciver_test_18,AT,1,3,3,3,3
sciver_test_18,MCr,1,2,2,2,2
sciver_test_18,QLl,1,2,2,2,2
sciver_test_18,QLq,1,2,2,2,2
sciver_test_18,VO,1,2,2,2,2
sciver_test_180,AS,1,3,3,3,3
sciver_test_180,AT,1,4,4,4,4
sciver_test_180,MCr,1,3,3,3,3
sciver_test_180,QLl,1,3,3,3,3
sciver_test_180,QLq,1,3,3,3,3
sciver_test_180,VO,1,2,2,2,2
sciver_test_181,AS,1,2,2,2,2
sciver_test_181,AT,1,3,3,3,3
sciver_test_181,MCr,1,2,2,2,2
sciver_test_181,QLl,1,3,3,3,3
sciver_test_181,QLq,1,3,3,3,3
sciver_test_181,VO,1,2,2,2,2
sciver_test_182,AS,1,2,2,2,2
sciver_test_182,AT,1,3,3,3,3
sciver_test_182,MCr,1,2,2,2,2
sciver_test_182,QLl,1,2,2,2,2
sciver_test_182,QLq,1,3,3,3,3
sciver_test_182,VO,1,2,2,2,2
sciver_test_184,AS,1,3,3,3,3
sciver_test_184,AT,1,4,4,4,4
sciver_test_184,MCr,1,4,4,4,4
sciver_test_184,QLl,1,3,3,3,3
sciver_test_184,QLq,1,3,3,3,3
sciver_test_184,VO,1,2,2,2,2
sciver_test_187,AS,1,3,3,3,3
sciver_test_187,AT,1,4,4,4,4
sciver_test_187,MCr,1,3,3,3,3
sciver_test_187,QLl,1,3,3,3,3
sciver_test_187,QLq,1,4,4,4,4
sciver_test_187,VO,1,2,2,2,2
sciver_test_188,AS,1,3,3,3,3
sciver_test_188,AT,1,3,3,3,3
sciver_test_188,MCr,1,3,3,3,3
sciver_test_188,QLl,1,3,3,3,3
sciver_test_188,QLq,1,2,2,2,2
sciver_test_188,VO,1,2,2,2,2
sciver_test_190,AS,1,2,2,2,2
sciver_test_190,AT,1,3,3,3,3
sciver_test_190,MCr,1,2,2,2,2
sciver_test_190,QLl,1,1,1,1,1
sciver_test_190,QLq,1,2,2,2,2
sciver_test_190,VO,1,1,1,1,1
sciver_test_192,AS,1,3,3,3,3
sciver_test_192,AT,1,4,4,4,4
sciver_test_192,MCr,1,3,3,3,3
sciver_test_192,QLl,1,3,3,3,3
sciver_test_192,QLq,1,3,3,3,3
sciver_test_192,VO,1,2,2,2,2
sciver_test_194,AS,1,2,2,2,2
sciver_test_194,AT,1,3,3,3,3
sciver_test_194,MCr,1,1,1,1,1
sciver_test_194,QLl,1,1,1,1,1
sciver_test_194,QLq,1,3,3,3,3
sciver_test_194,VO,1,1,1,1,1
sciver_test_196,AS,1,2,2,2,2
sciver_test_196,AT,1,3,3,3,3
sciver_test_196,MCr,1,1,1,1,1
sciver_test_196,QLl,1,1,1,1,1
sciver_test_196,QLq,1,1,1,1,1
sciver_test_196,VO,1,1,1,1,1
sciver_test_197,AS,1,3,3,3,3
sciver_test_197,AT,1,3,3,3,3
sciver_test_197,MCr,1,3,3,3,3
sciver_test_197,QLl,1,3,3,3,3
sciver_test_197,QLq,1,1,1,1,1
sciver_test_197,VO,1,2,2,2,2
sciver_test_199,AS,1,2,2,2,2
sciver_test_199,AT,1,4,4,4,4
sciver_test_199,MCr,1,2,2,2,2
sciver_test_199,QLl,1,3,3,3,3
